ID,N_VICTIMAS,FECHA,HORA,PARTICIPANTES,VICTIMA,ACUSADO
2019-0091,1,2019-11-01,20:50:00,PEATON-PASAJEROS,2,1
2019-0092,1,2019-11-03,10:30:00,PEATON-PASAJEROS,2,1
2019-0093,1,2019-11-13,11:50:00,BICICLETA-OTRO,5,7
2019-0094,1,2019-11-18,14:00:00,MOTO-OTRO,0,7
2019-0095,1,2019-11-20,15:30:00,MOTO-CARGAS,0,4
2019-0096,1,2019-11-22,19:33:00,PEATON-PASAJEROS,2,1
2019-0097,1,2019-11-25,08:50:00,MULTIPLE,0,6
2019-0098,1,2019-11-25,14:00:00,PASAJEROS-PASAJEROS,6,1
2019-0100,1,2019-12-05,17:30:00,MOTO-AUTO,0,0
2019-0101,1,2019-12-17,04:20:00,MOTO-MOTO,0,5
2019-0102,1,2019-12-17,14:30:00,MOTO-AUTO,0,0
2019-0103,1,2019-12-18,SD,MOTO-MOTO,0,5
2019-0104,1,2019-12-21,04:25:00,MOTO-AUTO,0,0
2019-0105,1,2019-05-05,11:00:00,PEATON-AUTO,2,0
2020-0001,1,2020-01-04,10:40:00,PEATON-AUTO,2,0
2020-0002,1,2020-01-05,20:00:00,MOTO-OBJETO FIJO,0,3
2020-0003,1,2020-01-11,06:00:00,PEATON-AUTO,2,0
2020-0004,1,2020-01-14,21:40:00,PEATON-PASAJEROS,2,1
2020-0005,1,2020-01-14,06:00:00,MOTO-PASAJEROS,0,1
2020-0006,1,2020-01-20,12:55:00,MOTO-CARGAS,0,4
2020-0007,1,2020-01-27,00:37:00,PEATON-MOTO,2,5
2020-0008,1,2020-01-30,07:10:00,MOTO-CARGAS,0,4
2020-0009,1,2020-02-04,14:50:00,PEATON-AUTO,2,0
2020-0010,1,2020-02-08,05:45:00,MOTO-OBJETO FIJO,0,3
2020-0011,1,2020-02-12,11:29:00,MOTO-CARGAS,0,4
2020-0012,1,2020-02-18,21:00:00,PEATON-MOTO,2,5
2020-0013,1,2020-02-20,12:00:00,PEATON-MOTO,2,5
2020-0014,1,2020-02-27,02:14:00,MOTO-PASAJEROS,0,1
2020-0015,1,2020-02-28,14:30:00,MOTO-PASAJEROS,0,1
2020-0016,1,2020-02-29,13:00:00,PEATON-PASAJEROS,2,1
2020-0017,1,2020-03-05,23:00:00,PEATON-AUTO,2,0
2020-0018,1,2020-03-09,14:00:00,MOTO-OBJETO FIJO,0,3
2020-0019,1,2020-03-10,21:00:00,PEATON-AUTO,2,0
2020-0020,1,2020-03-13,17:30:00,PEATON-MOTO,2,5
2020-0021,1,2020-03-14,16:50:00,PEATON-AUTO,2,0
2020-0022,1,2020-04-07,06:15:00,AUTO-CARGAS,1,4
2020-0023,1,2020-04-09,18:42:00,AUTO-CARGAS,1,4
2020-0024,1,2020-04-24,07:58:00,AUTO-AUTO,1,0
2020-0025,1,2020-05-12,05:35:00,PEATON-AUTO,2,0
2020-0026,1,2020-05-17,06:40:00,MOTO-OBJETO FIJO,0,3
2020-0027,1,2020-05-18,08:00:00,PEATON-CARGAS,2,4
2020-0028,1,2020-05-19,10:00:00,PEATON-PASAJEROS,2,1
2020-0029,1,2020-06-10,14:00:00,PEATON-PASAJEROS,2,1
2020-0030,1,2020-06-16,15:00:00,MULTIPLE,0,6
2020-0031,1,2020-06-30,08:00:00,MOTO-CARGAS,0,4
2020-0032,1,2020-07-10,23:00:00,MOTO-AUTO,0,0
